"","p_d_node","p_state","d_state","change","p_pp","d_pp","dpp>ppp"
"1240","1716_1717",0,0,0,0.998,0.998,0
"1241","1717_618",0,0,0,0.998,1,1
"1242","1717_619",0,0,0,0.998,1,1
"1243","1716_620",0,0,0,0.998,1,1
"1244","1712_1718",0,0,0,1,1,0
"1245","1718_621",0,0,0,1,1,0
"1246","1718_1719",0,0,0,1,0.996,0
"1247","1719_622",0,0,0,0.996,1,1
"1248","1719_623",0,0,0,0.996,1,1
"1249","1707_624",0,0,0,0.934,1,1
"1250","1688_625",0,0,0,0.948,1,1
"1251","1684_1720",0,0,0,0.932,0.94,1
"1252","1720_1721",0,0,0,0.94,0.95,1
"1253","1721_626",0,0,0,0.95,1,1
"1254","1721_627",0,0,0,0.95,1,1
"1255","1720_1722",0,0,0,0.94,0.936,0
"1256","1722_1723",0,0,0,0.936,0.922,0
"1257","1723_628",0,0,0,0.922,1,1
"1258","1723_1724",0,0,0,0.922,0.946,1
"1259","1724_1725",0,0,0,0.946,0.99,1
"1260","1725_629",0,0,0,0.99,1,1
"1261","1725_630",0,0,0,0.99,1,1
"1262","1724_1726",0,0,0,0.946,0.948,1
"1263","1726_631",0,0,0,0.948,1,1
"1264","1726_632",0,0,0,0.948,1,1
"1265","1722_1727",0,0,0,0.936,0.928,0
"1266","1727_1728",0,0,0,0.928,0.966,1
"1267","1728_633",0,0,0,0.966,1,1
"1268","1728_634",0,0,0,0.966,1,1
"1269","1727_635",0,0,0,0.928,1,1
"1270","1678_1729",0,0,0,0.932,0.914,0
"1271","1729_1730",0,0,0,0.914,0.934,1
"1272","1730_636",0,0,0,0.934,1,1
"1273","1730_1731",0,0,0,0.934,0.924,0
"1274","1731_637",0,0,0,0.924,1,1
"1275","1731_1732",0,0,0,0.924,0.918,0
"1276","1732_638",0,0,0,0.918,1,1
"1277","1732_1733",0,0,0,0.918,0.926,1
"1278","1733_639",0,0,0,0.926,1,1
"1279","1733_1734",0,0,0,0.926,0.952,1
"1280","1734_640",0,0,0,0.952,1,1
"1281","1734_1735",0,0,0,0.952,0.948,0
"1282","1735_641",0,0,0,0.948,1,1
"1283","1735_1736",0,0,0,0.948,0.94,0
"1284","1736_642",0,0,0,0.94,1,1
"1285","1736_643",0,0,0,0.94,1,1
"1286","1729_1737",0,0,0,0.914,0.912,0
"1287","1737_1738",0,0,0,0.912,0.922,1
"1288","1738_1739",0,0,0,0.922,0.902,0
"1289","1739_644",0,0,0,0.902,1,1
"1290","1739_1740",0,0,0,0.902,0.92,1
"1291","1740_1741",0,0,0,0.92,0.936,1
"1292","1741_645",0,0,0,0.936,1,1
"1293","1741_646",0,0,0,0.936,1,1
"1294","1740_1742",0,0,0,0.92,0.93,1
"1295","1742_1743",0,0,0,0.93,0.936,1
"1296","1743_647",0,0,0,0.936,1,1
"1297","1743_648",0,0,0,0.936,1,1
"1298","1742_1744",0,0,0,0.93,0.952,1
"1299","1744_1745",0,0,0,0.952,0.966,1
"1300","1745_649",0,0,0,0.966,1,1
"1301","1745_650",0,0,0,0.966,1,1
"1302","1744_1746",0,0,0,0.952,0.98,1
"1303","1746_651",0,0,0,0.98,1,1
"1304","1746_652",0,0,0,0.98,1,1
"1305","1738_1747",0,0,0,0.922,0.92,0
"1306","1747_1748",0,0,0,0.92,0.94,1
"1307","1748_1749",0,0,0,0.94,0.924,0
"1308","1749_1750",0,0,0,0.924,0.93,1
"1309","1750_653",0,0,0,0.93,1,1
"1310","1750_654",0,0,0,0.93,1,1
"1311","1749_1751",0,0,0,0.924,0.928,1
"1312","1751_1752",0,0,0,0.928,0.926,0
"1313","1752_1753",0,0,0,0.926,0.932,1
"1314","1753_655",0,0,0,0.932,1,1
"1315","1753_656",0,0,0,0.932,1,1
"1316","1752_1754",0,0,0,0.926,0.952,1
"1317","1754_657",0,0,0,0.952,1,1
"1318","1754_658",0,0,0,0.952,1,1
"1319","1751_1755",0,0,0,0.928,0.932,1
"1320","1755_659",0,0,0,0.932,1,1
"1321","1755_1756",0,0,0,0.932,0.93,0
"1322","1756_660",0,0,0,0.93,1,1
"1323","1756_661",0,0,0,0.93,1,1
"1324","1748_1757",0,0,0,0.94,0.93,0
"1325","1757_662",0,0,0,0.93,1,1
"1326","1757_1758",0,0,0,0.93,0.928,0
"1327","1758_663",0,0,0,0.928,1,1
"1328","1758_664",0,0,0,0.928,1,1
"1329","1747_1759",0,0,0,0.92,0.916,0
"1330","1759_1760",0,0,0,0.916,0.922,1
"1331","1760_1761",0,0,0,0.922,0.922,0
"1332","1761_665",0,0,0,0.922,1,1
"1333","1761_666",0,0,0,0.922,1,1
"1334","1760_1762",0,0,0,0.922,0.942,1
"1335","1762_667",0,0,0,0.942,1,1
"1336","1762_668",0,0,0,0.942,1,1
"1337","1759_1763",0,0,0,0.916,0.946,1
"1338","1763_669",0,0,0,0.946,1,1
"1339","1763_1764",0,0,0,0.946,0.93,0
"1340","1764_670",0,0,0,0.93,1,1
"1341","1764_1765",0,0,0,0.93,0.912,0
"1342","1765_671",0,0,0,0.912,1,1
"1343","1765_672",0,0,0,0.912,1,1
"1344","1737_1766",0,0,0,0.912,0.922,1
"1345","1766_1767",0,0,0,0.922,0.924,1
"1346","1767_1768",0,0,0,0.924,0.926,1
"1347","1768_673",0,0,0,0.926,1,1
"1348","1768_674",0,0,0,0.926,1,1
"1349","1767_1769",0,0,0,0.924,0.934,1
"1350","1769_1770",0,0,0,0.934,0.942,1
"1351","1770_1771",0,0,0,0.942,0.946,1
"1352","1771_675",0,0,0,0.946,1,1
"1353","1771_1772",0,0,0,0.946,0.994,1
"1354","1772_676",0,0,0,0.994,1,1
"1355","1772_677",0,0,0,0.994,1,1
"1356","1770_678",0,0,0,0.942,1,1
"1357","1769_1773",0,0,0,0.934,0.944,1
"1358","1773_679",0,0,0,0.944,1,1
"1359","1773_680",0,0,0,0.944,1,1
"1360","1766_1774",0,0,0,0.922,0.928,1
"1361","1774_1775",0,0,0,0.928,0.934,1
"1362","1775_1776",0,0,0,0.934,0.914,0
"1363","1776_681",0,0,0,0.914,1,1
"1364","1776_1777",0,0,0,0.914,0.964,1
"1365","1777_682",0,0,0,0.964,1,1
"1366","1777_683",0,0,0,0.964,1,1
"1367","1775_1778",0,0,0,0.934,0.946,1
"1368","1778_1779",0,0,0,0.946,0.924,0
"1369","1779_1780",0,0,0,0.924,0.918,0
"1370","1780_1781",0,0,0,0.918,0.92,1
"1371","1781_684",0,0,0,0.92,1,1
"1372","1781_1782",0,0,0,0.92,0.938,1
"1373","1782_1783",0,0,0,0.938,0.982,1
"1374","1783_685",0,0,0,0.982,1,1
"1375","1783_686",0,0,0,0.982,1,1
"1376","1782_1784",0,0,0,0.938,0.924,0
"1377","1784_687",0,0,0,0.924,1,1
"1378","1784_1785",0,0,0,0.924,0.988,1
"1379","1785_688",0,0,0,0.988,1,1
"1380","1785_689",0,0,0,0.988,1,1
"1381","1780_1786",0,0,0,0.918,0.932,1
"1382","1786_1787",0,0,0,0.932,0.942,1
"1383","1787_1788",0,0,0,0.942,0.948,1
"1384","1788_1789",0,0,0,0.948,0.93,0
"1385","1789_690",0,0,0,0.93,1,1
"1386","1789_1790",0,0,0,0.93,0.942,1
"1387","1790_1791",0,0,0,0.942,0.94,0
"1388","1791_1792",0,0,0,0.94,0.918,0
"1389","1792_691",0,0,0,0.918,1,1
"1390","1792_1793",0,0,0,0.918,0.96,1
"1391","1793_1794",0,0,0,0.96,0.984,1
"1392","1794_1795",0,0,0,0.984,0.984,0
"1393","1795_692",0,0,0,0.984,1,1
"1394","1795_1796",0,0,0,0.984,0.996,1
"1395","1796_693",0,0,0,0.996,1,1
"1396","1796_694",0,0,0,0.996,1,1
"1397","1794_1797",0,0,0,0.984,0.988,1
"1398","1797_1798",0,0,0,0.988,0.988,0
"1399","1798_695",0,0,0,0.988,1,1
"1400","1798_696",0,0,0,0.988,1,1
"1401","1797_697",0,0,0,0.988,1,1
"1402","1793_1799",0,0,0,0.96,0.99,1
"1403","1799_1800",0,0,0,0.99,0.998,1
"1404","1800_698",0,0,0,0.998,1,1
