"","p_d_node","p_state","d_state","change","p_pp","d_pp","dpp>ppp"
"1936","2064_966",0,0,0,1,1,0
"1937","2064_967",0,0,0,1,1,0
"1938","2063_2065",0,0,0,1,1,0
"1939","2065_968",0,0,0,1,1,0
"1940","2065_2066",0,0,0,1,1,0
"1941","2066_2067",0,0,0,1,1,0
"1942","2067_969",0,0,0,1,1,0
"1943","2067_2068",0,0,0,1,1,0
"1944","2068_2069",0,0,0,1,1,0
"1945","2069_970",0,0,0,1,1,0
"1946","2069_971",0,0,0,1,1,0
"1947","2068_972",0,0,0,1,1,0
"1948","2066_973",0,0,0,1,1,0
"1949","2062_2070",0,0,0,1,1,0
"1950","2070_2071",0,0,0,1,1,0
"1951","2071_974",0,0,0,1,1,0
"1952","2071_975",0,0,0,1,1,0
"1953","2070_976",0,0,0,1,1,0
"1954","2058_977",0,0,0,0.824,1,1
"1955","2057_2072",0,0,0,0.814,0.824,1
"1956","2072_2073",0,0,0,0.824,0.998,1
"1957","2073_978",0,0,0,0.998,1,1
"1958","2073_979",0,0,0,0.998,1,1
"1959","2072_2074",0,0,0,0.824,0.872,1
"1960","2074_2075",0,0,0,0.872,0.986,1
"1961","2075_980",0,0,0,0.986,1,1
"1962","2075_2076",0,0,0,0.986,1,1
"1963","2076_981",0,0,0,1,1,0
"1964","2076_982",0,0,0,1,1,0
"1965","2074_2077",0,0,0,0.872,0.912,1
"1966","2077_2078",0,0,0,0.912,0.928,1
"1967","2078_983",0,0,0,0.928,1,1
"1968","2078_2079",0,0,0,0.928,1,1
"1969","2079_984",0,0,0,1,1,0
"1970","2079_985",0,0,0,1,1,0
"1971","2077_2080",0,0,0,0.912,0.968,1
"1972","2080_2081",0,0,0,0.968,0.99,1
"1973","2081_986",0,0,0,0.99,1,1
"1974","2081_987",0,0,0,0.99,1,1
"1975","2080_988",0,0,0,0.968,1,1
"1976","2055_2082",0,0,0,0.654,0.516,0
"1977","2082_2083",0,0,0,0.516,0.514,0
"1978","2083_2084",0,0,0,0.514,0.566,1
"1979","2084_2085",0,0,0,0.566,0.61,1
"1980","2085_989",0,1,1,0.61,1,1
"1981","2085_990",0,0,0,0.61,1,1
"1982","2084_2086",0,0,0,0.566,0.634,1
"1983","2086_2087",0,0,0,0.634,0.644,1
